transaction_text,category
Municipal tax payment INR 36053 TXN52b43195,utilities
Udemy course purchase INR 9241 TXN742d921b,education
Unacademy plan INR 7211 TXNac52be64,education
Vaccination fee INR 5946 TXNdac3ff07,healthcare
Mobile phone EMI INR 9179 TXN7b4f5d85,emi
OTT subscription INR 6076 TXNb9949865,entertainment
Tea stall INR 48466 TXNfe1a804f,food
Subway sandwich INR 33358 TXNb21cd5c4,food
Flight ticket booking INR 34664 TXNb1908892,travel
Car loan EMI INR 27252 TXNb4c68596,emi
JioCinema plan INR 14764 TXN004fd7ae,entertainment
SpiceJet airlines INR 34387 TXN0dfac6d3,travel
Loan repayment INR 31649 TXN0cb6627e,emi
Bookstore payment INR 27694 TXNa9d12354,shopping
Health insurance premium INR 5923 TXN2fa0f2b4,healthcare
Goibibo hotel INR 8929 TXN4f59c55d,travel
Music streaming INR 4986 TXNd840f63b,entertainment
College fees payment INR 9786 TXN50cddfe3,education
Dental clinic charges INR 33296 TXN1ade2478,healthcare
Equity investment INR 28185 TXN35ed7ef4,investment
Bond purchase INR 26596 TXN1d763e20,investment
Metro card recharge INR 7656 TXNdb55c851,travel
Canteen payment INR 43078 TXNf921ae4a,food
Personal loan installment INR 26940 TXNda273bf5,emi
BigBasket grocery INR 25214 TXN73a0cc16,food
Online course subscription INR 13529 TXN4da2943b,education
Starbucks coffee INR 22354 TXN49e88336,food
Goibibo hotel INR 39170 TXN956461ee,travel
Bus ticket INR 25906 TXNdfc44b57,travel
Workshop registration INR 14154 TXNf9352914,education
Internet recharge INR 25957 TXNa39b31c5,utilities
Mobile phone EMI INR 7922 TXN904ae90e,emi
Air India ticket INR 23278 TXN46569f3a,travel
Airport taxi INR 36879 TXNbec3924b,travel
Cafe coffee INR 42908 TXN8a8e1e4e,food
Textbook purchase INR 6615 TXN0d6de018,education
Online shopping payment INR 31152 TXN952ebb46,shopping
Croma electronics INR 29349 TXN5fb0608d,shopping
Zerodha stock buy INR 29870 TXNef18bc96,investment
FASTag recharge INR 15849 TXN798ffe2d,travel
Recurring deposit INR 48939 TXNf91b7a66,investment
Clinic visit INR 40892 TXNee12ec36,healthcare
Vaccination fee INR 8226 TXN7e7304e5,healthcare
Chinese takeaway INR 48084 TXNa19c255a,food
SpiceJet airlines INR 16154 TXN7aa4dfa7,travel
Game purchase INR 3051 TXN3a0aed19,entertainment
Steam games purchase INR 46573 TXN4b12bb43,entertainment
LPG cylinder booking INR 31681 TXNe257d45c,utilities
Mobile recharge INR 47470 TXN577ebd1a,utilities
Indian Oil fuel INR 18062 TXN34c9c789,travel
Vaccination fee INR 32095 TXNc8ca10da,healthcare
Stationery purchase INR 41979 TXNa458c754,shopping
Bike loan EMI INR 29804 TXNad12e679,emi
MakeMyTrip booking INR 24953 TXNbab51045,travel
Footwear shop INR 5826 TXN13106f98,shopping
Surgery payment INR 14666 TXNb737cdc6,healthcare
Unacademy plan INR 25238 TXN69e836d4,education
Footwear shop INR 46685 TXNf0c270de,shopping
Crypto investment INR 41631 TXN21643203,investment
Gold loan EMI INR 12876 TXN47432dc3,emi
Biryani order INR 37433 TXNf7468fdc,food
Recurring deposit INR 3632 TXNca3119d0,investment
Music streaming INR 22913 TXNc9ca66f6,entertainment
Chinese takeaway INR 32806 TXN90832693,food
Business loan installment INR 21651 TXNeae31feb,emi
Vaccination fee INR 36211 TXN3ba929b2,healthcare
School fees INR 27751 TXN8bcdc06d,education
Bookstore payment INR 48318 TXN7197fdae,shopping
IndiGo flight INR 12381 TXNc9a33e4e,travel
Game purchase INR 48410 TXNa5f92dcc,entertainment
Hostel fees INR 45892 TXNeb43289d,education
Footwear shop INR 34007 TXN40983203,shopping
Event ticket INR 23830 TXNea8370fe,entertainment
Bookstore payment INR 6800 TXN1e70c8f1,shopping
Amazon Prime subscription INR 15275 TXNd859ac7a,entertainment
Stationery purchase INR 11230 TXN0ad57f84,shopping
Maintenance charges INR 25203 TXN13b6f95b,utilities
Nykaa beauty INR 40113 TXN650adf2e,shopping
Jio fiber broadband INR 44483 TXN9a332fe5,utilities
Spotify premium INR 5818 TXNac503181,entertainment
Tuition fees payment INR 33042 TXN9f39e4bc,education
Demat account funding INR 33038 TXN90463763,investment
Index fund purchase INR 14582 TXN483ccca4,investment
Training program fee INR 696 TXN1f3fc18e,education
Barbeque Nation INR 43187 TXN60dcfebd,food
Equity investment INR 23963 TXN1353bf47,investment
Air India ticket INR 5333 TXNadc16800,travel
Bike loan EMI INR 7073 TXNb3e20a74,emi
Surgery payment INR 22047 TXN9627c030,healthcare
Education loan installment INR 10210 TXNfb2b6e40,emi
Upstox trading INR 915 TXN42e0c80d,investment
Business loan installment INR 1455 TXNe0c396a0,emi
IKEA furniture INR 40892 TXNa4b57936,shopping
Biryani order INR 5546 TXNc4e26f37,food
Biryani order INR 6543 TXNdac24db2,food
1mg medicine order INR 1091 TXNb30723dd,healthcare
Parking fee INR 21463 TXN6ada1bbd,travel
Starbucks coffee INR 41703 TXNe7228a9e,food
PharmEasy medicines INR 16655 TXN59c0b7cd,healthcare
Lifestyle store INR 12785 TXN1a90cf8a,shopping
